truePositive,falseNegative,falsePositve,falseAlarmProb
3,2,0,0
4,1,5,0.555555555555556
3,2,4,0.571428571428571
5,0,2,0.285714285714286
4,1,4,0.5
5,0,0,0
4,1,7,0.636363636363636
5,0,2,0.285714285714286
5,0,2,0.285714285714286
5,0,0,0
5,0,0,0
4,1,1,0.2
4,1,2,0.333333333333333
5,0,4,0.444444444444444
4,1,1,0.2
5,0,0,0
5,0,1,0.166666666666667
3,2,0,0
5,0,3,0.375
3,2,0,0
4,1,2,0.333333333333333
5,0,3,0.375
5,0,3,0.375
5,0,0,0
5,0,2,0.285714285714286
4,1,0,0
4,1,1,0.2
5,0,2,0.285714285714286
5,0,5,0.5
5,0,0,0
4,1,1,0.2
5,0,1,0.166666666666667
5,0,0,0
5,0,0,0
4,1,4,0.5
5,0,0,0
3,2,3,0.5
4,1,2,0.333333333333333
5,0,2,0.285714285714286
4,1,0,0
5,0,1,0.166666666666667
5,0,4,0.444444444444444
5,0,3,0.375
5,0,9,0.642857142857143
3,2,1,0.25
5,0,0,0
5,0,3,0.375
4,1,1,0.2
4,1,2,0.333333333333333
4,1,0,0
